run_id,run_index,run_total,hops,topk_vector,topk_final,w_vector,w_constraint,w_graph,use_vector,use_graph_expansion,use_community_retrieval,use_summary_layer,answer_relevancy,context_precision,context_recall,evidence_grounding_rate,faithfulness,feasibility_pass_rate,personalization_proxy,route_distance_ratio,n,output_dir
run_001,1,2,1,20,15,0.5,0.25,0.25,True,True,False,True,0.051172861629779166,0.9799404761904762,0.7571045621045621,1.0,1.0,0.7,0.639,5.395739855336483,10,/Users/wangyi/Downloads/Final_thesis/TripKGE/outputs/ablation_smoke/run_001
run_002,2,2,1,20,15,0.5,0.25,0.25,True,False,False,True,0.051172861629779166,0.9799404761904762,0.7571045621045621,1.0,1.0,0.7,0.639,5.472712294324085,10,/Users/wangyi/Downloads/Final_thesis/TripKGE/outputs/ablation_smoke/run_002
